price,neighbourhood,latitude,longitude,property_type,bathrooms,bedrooms,beds,host_is_superhost,parking,room_type_Entire home/apt,room_type_Private room,room_type_Shared room
110,154.0,40.62766,-74.07988,21.0,1.0,1,3,0.0,1.0,0,1,0
99,101.0,40.83434,-73.94027,3.0,1.0,1,2,0.0,0.0,0,1,0
90,18.0,40.72049,-73.95221,23.0,1.0,1,1,1.0,1.0,0,1,0
75,136.0,40.7106799999999,-73.81577,1.0,2.0,1,1,0.0,1.0,0,1,0
350,59.0,40.74125,-73.98862,23.0,1.0,1,1,0.0,0.0,1,0,0
85,101.0,40.82703,-73.94311,1.0,1.0,1,1,0.0,1.0,0,1,0
250,182.0,40.66106,-73.98316,21.0,1.5,2,4,0.0,1.0,1,0,0
300,167.0,40.76494,-73.95804,1.0,1.0,2,4,0.0,1.0,1,0,0
125,80.0,40.80192,-73.95827,1.0,1.0,1,1,0.0,0.0,0,1,0
147,52.0,40.72812,-73.97966,1.0,1.0,1,1,1.0,1.0,1,0,0
145,181.0,40.7112099999999,-73.94669,1.0,1.0,2,1,0.0,1.0,1,0,0
145,101.0,40.73448,-73.99797,1.0,1.0,1,1,0.0,0.0,1,0,0
75,18.0,40.5781,-73.95455,1.0,1.0,1,2,0.0,0.0,1,0,0
95,18.0,40.69321,-73.9442,1.0,1.0,1,2,0.0,0.0,1,0,0
275,112.0,40.75816,-73.96457,1.0,1.0,1,1,0.0,1.0,1,0,0
175,101.0,40.73111,-73.98528,1.0,1.0,1,1,0.0,0.0,1,0,0
200,101.0,40.71804,-73.98565,23.0,1.0,2,2,0.0,0.0,1,0,0
325,111.0,40.7559,-73.99469,1.0,1.0,1,1,0.0,0.0,1,0,0
129,176.0,40.73041,-74.00498,1.0,1.0,1,1,1.0,0.0,1,0,0
130,42.0,40.6764,-73.96218,23.0,1.5,2,1,1.0,0.0,1,0,0
190,18.0,40.70279,-73.98284,1.0,1.0,1,1,0.0,1.0,1,0,0
60,173.0,40.83559,-73.94095,1.0,1.0,1,1,0.0,0.0,0,1,0
250,101.0,40.79234,-73.9648199999999,1.0,1.0,1,2,0.0,0.0,1,0,0
145,101.0,40.77548,-73.95183,1.0,1.0,1,1,0.0,0.0,0,1,0
200,181.0,40.7108,-73.96226,23.0,1.0,1,2,0.0,1.0,1,0,0
58,79.0,40.8272599999999,-73.9444,1.0,1.0,1,1,0.0,0.0,0,1,0
350,101.0,40.728,-73.97903,1.0,2.0,1,1,0.0,0.0,1,0,0
299,18.0,40.66859,-73.98235,29.0,2.0,4,4,0.0,1.0,1,0,0
125,101.0,40.74572,-73.99965,1.0,1.0,1,1,0.0,1.0,1,0,0
189,18.0,40.68813,-73.92817,21.0,2.5,2,2,1.0,1.0,1,0,0
100,94.0,40.73903,-73.97975,1.0,1.0,1,1,0.0,0.0,0,1,0
299,181.0,40.71164,-73.965,1.0,1.0,1,1,0.0,1.0,1,0,0
110,128.0,40.67267,-73.98348,1.0,1.0,1,1,0.0,0.0,0,1,0
200,18.0,40.64205,-73.97173,21.0,1.5,4,4,0.0,1.0,1,0,0
260,18.0,40.72183,-73.94908,1.0,1.0,2,3,0.0,1.0,1,0,0
225,100.0,40.71986,-73.9869,1.0,1.0,2,3,0.0,0.0,1,0,0
65,101.0,40.81669,-73.9426699999999,1.0,1.0,1,1,0.0,0.0,0,1,0
99,101.0,40.86717,-73.9194,1.0,1.0,2,2,0.0,1.0,1,0,0
315,101.0,40.73204,-74.00189,1.0,1.0,2,2,0.0,0.0,1,0,0
229,181.0,40.70147,-73.94378,12.0,1.0,2,4,1.0,1.0,1,0,0
100,80.0,40.8162,-73.94747,1.0,1.0,2,2,0.0,1.0,1,0,0
200,18.0,40.71613,-73.95837,1.0,1.0,1,1,0.0,0.0,1,0,0
89,100.0,40.7174599999999,-73.98782,1.0,1.0,1,1,0.0,0.0,0,1,0
65,18.0,40.68905,-73.9541,1.0,1.0,1,1,0.0,1.0,0,1,0
65,5.0,40.71012,-74.01504,1.0,1.0,1,1,0.0,0.0,0,1,0
500,101.0,40.72203,-74.00988,23.0,2.0,3,4,0.0,0.0,1,0,0
145,10.0,40.68229,-73.94287,1.0,1.0,2,2,0.0,0.0,1,0,0
110,18.0,40.65955,-73.96066,1.0,1.0,1,1,0.0,1.0,0,1,0
180,81.0,40.77137,-73.98943,1.0,2.0,1,2,0.0,0.0,1,0,0
115,135.0,40.67796,-73.96458,1.0,1.0,1,1,0.0,0.0,1,0,0
82,18.0,40.6933,-73.90823,1.0,1.0,2,2,0.0,0.0,1,0,0
155,18.0,40.71285,-73.94383,1.0,1.0,1,1,0.0,0.0,1,0,0
117,101.0,40.76487,-73.9847099999999,1.0,1.0,1,1,0.0,0.0,1,0,0
100,77.0,40.66387,-73.99077,1.0,1.0,1,1,0.0,0.0,1,0,0
155,101.0,40.7269299999999,-73.98521,1.0,1.0,1,2,0.0,0.0,1,0,0
150,24.0,40.67579,-73.99968,1.0,1.0,2,2,0.0,0.0,1,0,0
380,27.0,40.74087,-74.0022599999999,1.0,1.0,1,1,0.0,0.0,1,0,0
350,32.0,40.68545,-73.96534,29.0,4.5,5,6,0.0,1.0,1,0,0
105,6.0,40.61269,-74.03381,23.0,1.0,1,2,0.0,0.0,1,0,0
125,68.0,40.67858,-73.9853699999999,1.0,1.0,1,1,1.0,0.0,0,1,0
225,181.0,40.70821,-73.95352,1.0,1.0,2,2,0.0,1.0,1,0,0
