price,neighbourhood,latitude,longitude,property_type,room_type,bathrooms,bedrooms,beds,host_is_superhost,parking
105,Williamsburg,40.711,-73.96225,Apartment,Entire home/apt,1.0,1,1,0.0,1
125,Brooklyn,40.71095,-73.95239,Apartment,Private room,1.0,1,2,0.0,-1
60,Brooklyn,40.7091799999999,-73.94881,Apartment,Private room,1.0,1,1,0.0,-1
44,Brooklyn,40.66469,-73.96091,Apartment,Private room,1.0,1,1,0.0,-1
55,Brooklyn,40.68855,-73.95405,Apartment,Private room,1.0,1,1,0.0,-1
35,Brooklyn,40.69309,-73.97074,Apartment,Private room,1.0,2,1,0.0,1
70,Brooklyn,40.7063799999999,-73.96627,Apartment,Private room,1.0,1,1,0.0,-1
75,Brooklyn,40.71635,-73.94609,Apartment,Private room,1.0,1,1,0.0,-1
190,Upper East Side,40.77272,-73.95307,Apartment,Private room,1.0,1,1,0.0,-1
130,Brooklyn,40.72582,-73.95843,Apartment,Entire home/apt,1.0,2,1,0.0,1
150,Manhattan,40.7968,-73.93611,Apartment,Entire home/apt,1.0,1,2,0.0,-1
295,Upper West Side,40.78012,-73.98439,Apartment,Entire home/apt,1.0,1,1,0.0,-1
135,Fort Greene,40.68786,-73.97421,Condominium,Private room,1.0,1,1,0.0,1
99,Upper West Side,40.79044,-73.97513,Apartment,Private room,1.0,1,2,0.0,-1
75,Clinton Hill,40.69348,-73.9592699999999,Condominium,Private room,1.0,1,1,0.0,1
109,Upper West Side,40.78443,-73.97399,Apartment,Entire home/apt,1.0,1,2,1.0,1
225,Brooklyn,40.67679,-73.95639,Apartment,Entire home/apt,2.0,2,2,0.0,1
245,Manhattan,40.73294,-73.9828199999999,Apartment,Entire home/apt,1.5,2,1,0.0,1
180,Brooklyn,40.68625,-73.96446,Townhouse,Private room,1.0,1,2,0.0,1
106,Kips Bay,40.7401599999999,-73.97665,Apartment,Entire home/apt,1.0,1,1,0.0,-1
299,Midtown East,40.75023,-73.98293,Apartment,Entire home/apt,2.0,2,2,1.0,-1
165,Brooklyn,40.66604,-73.95914,Apartment,Entire home/apt,1.0,2,3,0.0,1
500,Brooklyn,40.63593,-73.96076,House,Entire home/apt,2.5,5,6,0.0,1
250,Manhattan,40.71638,-73.99167,Apartment,Entire home/apt,1.0,1,1,0.0,-1
80,Harlem,40.82772,-73.9387699999999,Apartment,Private room,1.0,1,1,0.0,1
121,Manhattan,40.7763099999999,-73.95289,Apartment,Entire home/apt,1.0,1,1,0.0,1
195,Manhattan,40.73104,-74.00879,Apartment,Private room,1.0,1,1,0.0,-1
160,Flatiron District,40.74253,-73.9916,Apartment,Private room,1.0,1,1,0.0,-1
70,Brooklyn,40.64372,-74.0206599999999,Apartment,Entire home/apt,1.0,1,1,0.0,-1
100,Greenwich Village,40.72886,-74.00013,Apartment,Private room,1.0,1,1,0.0,-1
160,Brooklyn,40.71682,-73.96369,Loft,Private room,1.0,1,1,0.0,-1
178,Brooklyn,40.67725,-73.9821,Apartment,Entire home/apt,1.0,2,2,0.0,-1
125,Brooklyn,40.67188,-73.97533,Apartment,Entire home/apt,1.0,1,1,0.0,1
77,Brooklyn,40.65846,-73.95057,House,Private room,1.0,1,1,0.0,1
60,Manhattan,40.78164,-73.94717,Apartment,Private room,1.0,1,1,0.0,-1
115,Manhattan,40.77584,-73.9502,Apartment,Shared room,1.0,1,2,0.0,-1
175,Harlem,40.79967,-73.95156,Apartment,Private room,1.5,2,3,1.0,1
125,Brooklyn,40.66847,-73.94875,Apartment,Entire home/apt,1.0,1,2,0.0,-1
120,Greenpoint,40.7376,-73.95678,Loft,Private room,1.0,1,1,0.0,-1
190,Brooklyn,40.72488,-73.94013,Apartment,Entire home/apt,1.0,2,2,0.0,-1
200,Manhattan,40.75643,-73.99046,Apartment,Entire home/apt,1.0,2,2,0.0,-1
50,Brooklyn,40.59721,-73.95149,Apartment,Entire home/apt,1.0,1,1,0.0,-1
